country,ccode,year,month,dates,elecViolence1,l.elecViolence1,elecViolence2,l.elecViolence2,tae1,nvio1,tae2,nvio2,pcgdp,growth,logIMR,logpredict,SPI,lnpop2,political_violence,gov_democracy,gov_interim,logtenure,dem_duration,regav_dem,regav_pcgdp,regav_IMR,regav_growth,gdpdiff,del_reggdp,del_regten,del_regdem,growthdiff,del_reggrow
Egypt,651,1976,9,9/16/1976,peace,0,peace,0,1,0,1,0,391.568634,1.119387269,4.927253723,0.006896519,-0.719252073,112.8304214,-0.361005604,0,0,4.304065228,0,0.487560091,4880.913574,4.302348334,1.10961195,0.080224454,0.092104711,-0.050183877,-0.017433332,1.008809686,0.006029849
Sweden,380,1976,9,9/19/1976,peace,0,peace,0,1,0,1,0,10439.04395,1.074226141,2.116255522,0.000256596,-1.541903388,81.25790405,-0.351877183,1,0,4.442651272,4.071871758,2.096343923,5328.439453,2.927914857,1.071288516,1.959118485,0.06742125,-0.120415546,0.037137996,1.002742171,-0.052755758
Egypt,651,1976,10,10/28/1976,peace,0,peace,0,2,0,2,0,391.568634,1.119387269,4.927253723,0.001175182,-0.482098282,112.8304214,-0.361005604,0,0,4.317488194,0,0.343022058,5074.501465,4.326467431,1.121369292,0.077163965,0.114207216,-0.082676493,-0.162594318,0.998232484,0.017787192
United States of America,2,1976,11,11/2/1976,peace,0,peace,0,1,0,1,0,8577.323242,1.101365328,2.721295357,0.001498198,-0.642811417,151.4536896,-0.287978321,1,0,3.367295742,5.239981651,1.040891711,1991.813232,3.937553664,1.113045259,4.306288719,0.103318326,0.044790912,-0.030927258,0.989506304,0.018445093
United States of America,2,1976,11,11/2/1976,peace,0,peace,0,1,0,1,0,8577.323242,1.101365328,2.721295357,0.001498198,-0.642811417,151.4536896,-0.287978321,1,0,3.367295742,5.239981651,1.040891711,1991.813232,3.937553664,1.113045259,4.306288719,0.103318326,0.044790912,-0.030927258,0.989506304,0.018445093
Egypt,651,1976,11,11/4/1976,peace,0,peace,0,3,0,3,0,391.568634,1.119387269,4.927253723,0.003303051,-0.281528985,112.8304214,-0.361005604,0,0,4.330733299,0,0.343492786,5074.501465,4.326467431,1.121369292,0.077163965,0.114207216,-0.080345035,-0.162743822,0.998232484,0.017787192
Japan,740,1976,12,12/5/1976,peace,0,peace,0,1,0,1,0,5198.365723,1.115619779,2.240709543,0.000238261,0.055136864,135.1692352,-0.361005604,1,0,0.693147182,3.283414364,0.928567887,1503.425171,3.97177008,1.061610158,3.457681656,0.110742636,0.181938067,0.039113514,1.050875187,-0.010521266
Japan,740,1976,12,12/5/1976,peace,0,peace,0,1,0,1,0,5198.365723,1.115619779,2.240709543,0.00023031,0.055136864,135.1692352,-0.361005604,1,0,3.258096457,3.283414364,0.928567887,1503.425171,3.97177008,1.061610158,3.457681656,0.110742636,0.181938067,0.039113514,1.050875187,-0.010521266
Algeria,615,1976,12,12/10/1976,peace,0,peace,0,1,0,1,0,1068.510498,1.107619643,4.820281506,0.01094555,1.553238242,94.32577515,-0.361005604,0,0,4.941642284,0,0.343961377,5074.501465,4.326467431,1.121369292,0.210564628,0.114207216,-0.078214362,-0.162892789,0.98773849,0.017787192
Jamaica,51,1976,12,12/15/1976,vio,0,vio,0,1,0,1,0,1414.571167,1.023119926,3.602776766,0.002547507,-1.643498038,58.05847549,-0.361005604,1,0,4.077537537,2.735449076,0.997558833,1978.172974,3.947610401,1.107485112,0.715089738,0.111756817,0.113467515,-0.077346347,0.923822761,0.012884947
Mauritius,590,1976,12,12/23/1976,vio,1,vio,1,1,0,1,0,840.637207,1.20231235,3.786459684,0.002145246,0.182378081,46.39049911,-0.361005604,1,0,4.672828674,2.285778046,0.048305697,638.6008301,4.752078431,1.040938104,1.316373467,0.043247022,0.173430264,0.006766434,1.155027747,-0.078801632
Singapore,830,1976,12,12/23/1976,peace,0,peace,0,1,0,1,0,2801.964111,1.108047485,2.564949274,0.000228633,-1.096247097,59.86848068,-0.361005604,0,0,4.927253723,0,0.928567887,1503.425171,3.97177008,1.061610158,1.863720417,0.110742636,0.181938067,0.039113514,1.043742299,-0.010521266
Paraguay,150,1977,2,2/6/1977,peace,0,peace,0,1,0,1,0,662.5011597,1.200459123,3.962716103,0.00105139,-0.26408935,63.82256317,-0.357962787,0,0,5.609471798,0,1.045884154,2198.041016,3.89069472,1.125034127,0.301405281,0.112792373,0.099101283,-0.034551363,1.067042351,0.011988867
Denmark,390,1977,2,2/15/1977,peace,0,peace,0,2,0,2,0,9785.601563,1.113371491,2.219203472,0.000428677,0.438803774,72.86734009,-0.361005604,1,0,3.258096457,4.344887257,2.127729923,5971.33252,2.87476012,1.119438161,1.638763428,0.111440435,0.025059558,0.057018925,0.994580626,0.048149645
El Salvador,92,1977,2,2/20/1977,vio,1,vio,1,1,1,1,1,723.2200317,1.236950994,4.495355129,0.005669142,-0.620465472,70.43178558,-0.351877183,0,0,4.043051243,0,1.045884154,2198.041016,3.89069472,1.125034127,0.329029351,0.112792373,0.099101283,-0.034551363,1.099478602,0.011988867
Algeria,615,1977,2,2/25/1977,peace,0,peace,0,2,0,2,0,1228.267822,1.149514079,4.779123306,0.001734557,1.016378912,94.92195892,-0.361005604,0,0,4.955827236,0,0.344092978,5517.126953,4.274364534,1.102792014,0.222628161,0.100603573,-0.073608659,-0.162568554,1.042367101,-0.018577278
Pakistan,770,1977,3,3/7/1977,vio,0,vio,0,1,0,1,0,270.3404846,1.100074172,4.837075233,0.008004597,0.289632909,125.3709412,-0.225306824,0,0,4.174387455,0,0.943064368,1573.871216,4.051939314,1.103890575,0.171767861,0.043859199,0.161998183,0.082780011,0.996542752,0.042465009
India,750,1977,3,3/16/1977,peace,0,peace,0,1,0,1,0,193.0396729,1.155944228,4.820281506,0.004724909,-0.224671724,179.2446899,-0.361005604,1,0,0.693147182,3.420455217,0.943064368,1573.871216,4.051939314,1.103890575,0.122652777,0.043859199,0.161998183,0.082780011,1.047154665,0.042465009
